shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
206,206,24-02-2023,27-01-2024,DHL,Delivered
207,207,15-04-2023,04-11-2024,DHL,Delivered
208,208,28-10-2024,16-06-2024,USPS,Delivered
209,209,11-10-2024,,USPS,In Transit
210,210,10-09-2023,08-03-2024,UPS,In Transit
211,211,18-12-2023,04-12-2023,FedEx,Delivered
212,212,06-07-2024,22-06-2024,USPS,In Transit
213,213,03-02-2024,16-05-2024,DHL,Returned
214,214,14-01-2024,06-03-2024,UPS,Returned
215,215,02-12-2023,,FedEx,In Transit
216,216,06-09-2023,,USPS,In Transit
217,217,08-03-2023,,UPS,In Transit
218,218,04-05-2024,20-04-2024,DHL,In Transit
219,219,28-08-2023,22-04-2024,FedEx,In Transit
220,220,13-03-2024,06-06-2024,UPS,Returned
221,221,07-01-2024,,USPS,In Transit
222,222,21-02-2024,17-12-2023,DHL,Delivered
223,223,20-02-2024,13-10-2024,DHL,In Transit
224,224,13-05-2024,,FedEx,In Transit
225,225,18-02-2023,29-12-2023,FedEx,In Transit
226,226,21-12-2023,,DHL,Returned
227,227,12-03-2024,22-05-2024,UPS,In Transit
228,228,02-03-2024,21-05-2024,FedEx,Delivered
229,229,29-11-2023,19-11-2023,DHL,Returned
230,230,15-11-2023,,DHL,Delivered
231,231,21-05-2024,22-04-2024,DHL,Delivered
232,232,05-11-2023,29-04-2024,DHL,In Transit
233,233,15-02-2024,28-06-2024,UPS,Returned
234,234,06-10-2023,06-08-2024,USPS,Delivered
235,235,23-10-2023,07-10-2024,FedEx,In Transit
236,236,04-12-2022,28-06-2024,FedEx,Delivered
237,237,23-07-2023,17-01-2024,FedEx,In Transit
238,238,08-02-2024,,FedEx,Returned
239,239,10-07-2023,09-02-2024,DHL,Delivered
240,240,21-12-2022,14-12-2023,UPS,Returned
241,241,21-04-2024,,FedEx,Returned
242,242,15-11-2023,02-11-2024,UPS,In Transit
243,243,11-09-2024,14-11-2024,FedEx,Delivered
244,244,26-11-2022,05-09-2024,USPS,Delivered
245,245,14-03-2023,25-09-2024,UPS,In Transit
246,246,02-03-2023,04-05-2024,USPS,Delivered
247,247,17-04-2023,16-11-2024,FedEx,Returned
248,248,03-12-2023,29-08-2024,UPS,Returned
249,249,17-09-2023,31-08-2024,UPS,Returned
250,250,07-05-2024,,DHL,Returned
251,251,10-08-2024,01-12-2023,DHL,In Transit
252,252,29-06-2024,24-11-2023,USPS,Delivered
253,253,04-02-2024,01-04-2024,USPS,Returned
254,254,09-06-2023,23-11-2023,DHL,In Transit
255,255,20-05-2023,,USPS,In Transit
256,256,07-05-2023,26-03-2024,USPS,In Transit
257,257,05-01-2024,29-03-2024,UPS,Delivered
258,258,28-07-2023,,FedEx,Delivered
259,259,09-03-2023,24-12-2023,UPS,Delivered
260,260,14-08-2024,24-01-2024,UPS,In Transit
261,261,01-05-2023,,UPS,Returned
262,262,16-04-2024,,UPS,In Transit
263,263,30-11-2023,22-03-2024,USPS,In Transit
264,264,01-10-2023,,UPS,Returned
265,265,14-09-2024,23-07-2024,DHL,Returned
266,266,01-01-2024,08-07-2024,UPS,In Transit
267,267,11-03-2023,,DHL,Delivered
268,268,21-08-2024,,FedEx,In Transit
269,269,18-06-2023,,UPS,In Transit
270,270,05-02-2023,11-10-2024,USPS,Returned
271,271,15-01-2024,06-03-2024,DHL,Delivered
272,272,16-06-2024,22-04-2024,UPS,In Transit
273,273,24-11-2022,03-08-2024,UPS,Returned
274,274,31-07-2024,,FedEx,Returned
275,275,20-04-2024,07-11-2024,FedEx,Returned
276,276,15-01-2024,,USPS,Delivered
277,277,21-01-2024,,USPS,In Transit
278,278,10-09-2024,05-06-2024,DHL,Returned
279,279,14-01-2024,,FedEx,Delivered
280,280,05-02-2024,23-12-2023,UPS,Delivered
281,281,14-11-2024,27-10-2024,USPS,Delivered
282,282,14-07-2023,24-03-2024,DHL,Delivered
283,283,03-03-2024,02-02-2024,USPS,Returned
284,284,04-01-2024,20-04-2024,FedEx,Returned
285,285,17-09-2023,23-06-2024,UPS,Delivered
286,286,18-04-2024,10-04-2024,DHL,Returned
287,287,22-10-2023,22-10-2024,USPS,Returned
288,288,21-10-2023,13-01-2024,DHL,Returned
289,289,06-02-2023,26-11-2023,UPS,In Transit
290,290,27-02-2024,16-05-2024,UPS,In Transit
291,291,07-01-2024,,UPS,Delivered
292,292,29-05-2024,,FedEx,In Transit
293,293,10-03-2023,15-06-2024,UPS,Delivered
294,294,21-01-2023,,USPS,Delivered
295,295,13-05-2024,27-12-2023,DHL,In Transit
296,296,16-11-2023,27-12-2023,DHL,Delivered
297,297,11-10-2023,,FedEx,In Transit
298,298,10-11-2023,29-02-2024,DHL,Returned
299,299,18-04-2023,16-06-2024,UPS,Returned
300,300,26-05-2024,24-11-2023,UPS,Returned
301,301,01-02-2024,,DHL,Returned
302,302,06-09-2024,11-02-2024,DHL,Delivered
303,303,13-11-2023,02-07-2024,DHL,Delivered
304,304,22-09-2023,,USPS,In Transit
305,305,08-05-2023,18-08-2024,FedEx,Returned
306,306,07-07-2024,,USPS,In Transit
307,307,01-02-2024,18-07-2024,DHL,In Transit
308,308,09-01-2024,,USPS,Returned
309,309,08-08-2023,23-10-2024,UPS,Delivered
310,310,31-10-2023,06-04-2024,DHL,Delivered
311,311,08-11-2023,27-06-2024,DHL,Delivered
312,312,21-06-2024,,UPS,Delivered
313,313,29-01-2024,30-08-2024,FedEx,In Transit
314,314,28-09-2024,,UPS,Delivered
315,315,29-07-2024,11-10-2024,USPS,Delivered
316,316,13-07-2023,26-07-2024,USPS,In Transit
317,317,21-11-2022,16-04-2024,DHL,Delivered
318,318,08-02-2024,07-08-2024,UPS,Returned
319,319,23-10-2024,09-02-2024,USPS,In Transit
320,320,01-01-2024,27-11-2023,USPS,Returned
321,321,23-09-2023,02-11-2024,USPS,Returned
322,322,04-03-2024,,UPS,Delivered
323,323,19-11-2023,,FedEx,Returned
324,324,08-02-2024,19-08-2024,UPS,Returned
325,325,10-10-2023,09-10-2024,FedEx,In Transit
326,326,22-03-2024,16-02-2024,DHL,Returned
327,327,26-10-2024,12-08-2024,USPS,In Transit
328,328,18-11-2024,,UPS,In Transit
329,329,17-11-2023,12-02-2024,USPS,Returned
330,330,11-01-2023,10-11-2024,DHL,In Transit
331,331,05-12-2023,15-07-2024,USPS,Returned
332,332,28-07-2024,,USPS,Returned
333,333,22-12-2022,,UPS,Returned
334,334,16-11-2024,11-04-2024,UPS,Delivered
335,335,11-02-2024,23-05-2024,DHL,Delivered
336,336,06-04-2023,14-11-2024,USPS,In Transit
337,337,09-01-2023,27-04-2024,UPS,In Transit
338,338,09-11-2024,08-08-2024,FedEx,Delivered
339,339,16-07-2023,07-01-2024,USPS,Returned
340,340,20-03-2024,23-08-2024,FedEx,Returned
341,341,18-09-2023,05-11-2024,FedEx,Delivered
342,342,26-09-2023,24-09-2024,USPS,Delivered
343,343,26-08-2023,,UPS,Delivered
344,344,21-08-2023,,USPS,Delivered
345,345,09-06-2024,27-01-2024,FedEx,Returned
346,346,05-10-2024,25-06-2024,UPS,In Transit
347,347,13-12-2022,21-08-2024,USPS,Returned
348,348,24-06-2024,22-11-2023,USPS,Delivered
349,349,07-08-2023,03-08-2024,FedEx,Returned
350,350,23-02-2024,20-10-2024,UPS,Returned
351,351,27-11-2023,16-02-2024,DHL,Returned
352,352,17-05-2024,31-05-2024,USPS,Delivered
353,353,11-11-2023,29-11-2023,FedEx,In Transit
354,354,27-08-2023,,UPS,Returned
355,355,25-03-2023,24-06-2024,USPS,Returned
356,356,11-06-2024,,DHL,In Transit
357,357,27-11-2022,,DHL,Delivered
358,358,24-04-2023,13-03-2024,UPS,In Transit
359,359,03-06-2023,11-08-2024,DHL,Returned
360,360,31-05-2023,,FedEx,Returned
361,361,09-10-2023,25-09-2024,FedEx,In Transit
362,362,11-03-2024,28-09-2024,USPS,Returned
363,363,23-01-2024,17-12-2023,FedEx,Delivered
364,364,31-01-2024,,FedEx,Returned
365,365,15-05-2024,07-04-2024,USPS,Delivered
366,366,17-11-2023,,USPS,Delivered
367,367,23-01-2023,09-12-2023,DHL,Delivered
368,368,21-11-2023,,FedEx,Returned
369,369,28-09-2024,,USPS,Delivered
370,370,05-10-2023,02-10-2024,UPS,In Transit
371,371,29-09-2024,16-05-2024,USPS,In Transit
372,372,18-03-2023,11-03-2024,FedEx,In Transit
373,373,26-11-2022,21-02-2024,FedEx,Returned
374,374,24-09-2023,,UPS,Delivered
375,375,10-02-2024,09-05-2024,UPS,Delivered
376,376,04-03-2024,,UPS,In Transit
377,377,17-10-2023,25-09-2024,FedEx,In Transit
378,378,29-07-2023,23-10-2024,FedEx,In Transit
379,379,26-06-2024,,USPS,Returned
380,380,30-07-2024,,USPS,Returned
381,381,31-10-2024,08-02-2024,USPS,In Transit
382,382,19-06-2023,,USPS,Returned
383,383,29-01-2023,21-04-2024,UPS,Delivered
384,384,02-11-2024,25-01-2024,USPS,Delivered
385,385,26-06-2024,14-01-2024,FedEx,Delivered
386,386,13-02-2024,,UPS,Delivered
387,387,22-01-2024,01-03-2024,FedEx,In Transit
388,388,27-07-2024,,UPS,In Transit
389,389,14-03-2023,,USPS,Returned
390,390,13-09-2024,,FedEx,Delivered
391,391,21-10-2024,13-12-2023,FedEx,In Transit
392,392,22-09-2024,23-03-2024,FedEx,In Transit
393,393,19-09-2023,,UPS,In Transit
394,394,12-03-2024,06-04-2024,USPS,Delivered
395,395,18-03-2023,24-12-2023,FedEx,Returned
396,396,07-04-2024,,FedEx,Returned
397,397,07-07-2023,27-08-2024,USPS,Delivered
398,398,08-01-2023,12-05-2024,USPS,Returned
399,399,26-03-2023,,UPS,Delivered
400,400,15-12-2022,03-08-2024,DHL,Delivered
401,401,26-01-2024,24-12-2023,DHL,Returned
402,402,31-05-2024,,USPS,In Transit
403,403,20-02-2023,05-12-2023,DHL,Delivered
404,404,29-08-2023,,DHL,Delivered
405,405,01-11-2024,15-05-2024,UPS,Delivered
406,406,09-08-2024,18-04-2024,DHL,Delivered
407,407,10-08-2023,20-11-2023,UPS,Returned
408,408,04-05-2023,,DHL,Delivered
409,409,01-06-2023,,DHL,Returned
410,410,28-01-2023,,FedEx,Delivered
411,411,07-03-2023,23-03-2024,USPS,Delivered
412,412,08-09-2024,22-04-2024,USPS,In Transit
413,413,19-03-2024,28-08-2024,UPS,Delivered
414,414,12-10-2024,,DHL,Delivered
415,415,18-10-2023,26-08-2024,UPS,In Transit
416,416,22-09-2024,25-07-2024,FedEx,Returned
417,417,05-03-2024,16-06-2024,USPS,Delivered
418,418,08-11-2023,,USPS,In Transit
419,419,24-03-2024,,UPS,In Transit
420,420,01-11-2024,,USPS,In Transit
421,421,20-10-2023,25-04-2024,FedEx,Returned
422,422,11-04-2024,27-04-2024,DHL,Returned
423,423,19-04-2023,03-08-2024,UPS,Returned
424,424,10-02-2024,29-03-2024,USPS,Delivered
425,425,12-02-2024,13-10-2024,UPS,In Transit
426,426,13-09-2024,13-05-2024,UPS,Delivered
427,427,21-11-2022,01-04-2024,UPS,Delivered
428,428,08-04-2024,04-07-2024,DHL,Delivered
429,429,20-05-2023,19-08-2024,UPS,Delivered
430,430,03-02-2024,04-06-2024,FedEx,Returned
431,431,02-09-2023,,FedEx,In Transit
432,432,05-10-2024,15-04-2024,FedEx,In Transit
433,433,26-06-2024,03-06-2024,FedEx,Returned
434,434,12-08-2024,10-07-2024,DHL,Returned
435,435,28-07-2024,,USPS,Returned
436,436,26-06-2024,,UPS,Returned
437,437,11-07-2024,26-02-2024,USPS,Returned
438,438,28-10-2024,11-08-2024,FedEx,Delivered
439,439,17-07-2024,30-08-2024,UPS,Delivered
440,440,23-01-2024,12-01-2024,FedEx,In Transit
441,441,30-08-2024,26-02-2024,FedEx,Returned
442,442,27-08-2023,05-05-2024,FedEx,Delivered
443,443,28-01-2024,27-12-2023,UPS,Delivered
444,444,13-02-2024,02-01-2024,USPS,In Transit
445,445,15-04-2023,25-12-2023,UPS,Delivered
446,446,31-10-2024,22-07-2024,USPS,Returned
447,447,20-01-2024,24-10-2024,DHL,Delivered
448,448,01-10-2024,,FedEx,Delivered
449,449,13-11-2024,,USPS,In Transit
450,450,18-08-2024,,USPS,Returned
451,451,19-06-2023,02-11-2024,FedEx,Delivered
452,452,15-06-2024,25-10-2024,FedEx,Returned
453,453,26-10-2024,,DHL,In Transit
454,454,20-05-2023,19-09-2024,DHL,Delivered
455,455,26-05-2023,16-04-2024,USPS,In Transit
456,456,18-02-2024,25-09-2024,DHL,In Transit
457,457,12-02-2023,30-10-2024,FedEx,In Transit
458,458,15-12-2022,15-06-2024,USPS,In Transit
459,459,25-09-2023,02-12-2023,UPS,Delivered
460,460,05-05-2024,09-03-2024,UPS,In Transit
461,461,26-11-2023,,USPS,Delivered
462,462,23-03-2024,,FedEx,Returned
463,463,22-11-2023,04-04-2024,USPS,In Transit
464,464,21-02-2023,26-01-2024,FedEx,Delivered
465,465,17-11-2024,31-01-2024,DHL,Returned
466,466,13-07-2023,14-10-2024,USPS,Returned
467,467,19-04-2024,05-09-2024,UPS,In Transit
468,468,09-12-2022,18-06-2024,FedEx,Returned
469,469,25-12-2023,08-02-2024,USPS,Returned
470,470,15-10-2024,,DHL,Delivered
471,471,14-07-2023,06-04-2024,USPS,In Transit
472,472,31-01-2023,22-11-2023,DHL,Returned
473,473,11-10-2024,19-06-2024,DHL,Delivered
474,474,01-10-2023,,USPS,In Transit
475,475,07-09-2023,21-01-2024,FedEx,Delivered
476,476,03-08-2024,25-02-2024,USPS,Returned
477,477,20-11-2022,19-11-2023,FedEx,Delivered
478,478,18-09-2024,26-11-2023,FedEx,In Transit
479,479,28-01-2023,23-04-2024,USPS,In Transit
480,480,18-05-2024,,UPS,In Transit
481,481,25-02-2023,25-12-2023,USPS,Delivered
482,482,30-01-2024,13-08-2024,DHL,Returned
483,483,21-09-2023,,FedEx,In Transit
484,484,20-12-2022,29-09-2024,FedEx,Delivered
485,485,17-03-2023,18-12-2023,USPS,Returned
486,486,08-04-2023,13-08-2024,USPS,Delivered
487,487,24-04-2024,19-04-2024,UPS,Delivered
488,488,16-02-2023,19-04-2024,DHL,Delivered
489,489,21-07-2023,,USPS,Delivered
490,490,15-03-2023,03-05-2024,UPS,In Transit
491,491,18-03-2024,24-04-2024,DHL,Delivered
492,492,18-04-2023,16-02-2024,UPS,In Transit
493,493,19-01-2023,26-06-2024,DHL,In Transit
494,494,22-12-2022,,UPS,Delivered
495,495,08-01-2023,,USPS,Returned
496,496,28-09-2024,04-06-2024,FedEx,Delivered
497,497,01-04-2023,,USPS,In Transit
498,498,15-12-2023,11-05-2024,FedEx,Returned
499,499,15-08-2023,08-06-2024,DHL,Delivered
500,500,20-08-2023,26-06-2024,FedEx,Returned
501,501,18-08-2023,,UPS,Delivered
502,502,01-05-2023,29-12-2023,DHL,In Transit
503,503,10-06-2023,11-06-2024,UPS,Delivered
504,504,24-11-2023,27-02-2024,FedEx,Delivered
505,505,27-07-2024,,UPS,In Transit
506,506,15-04-2024,01-11-2024,UPS,Delivered
507,507,21-12-2022,,DHL,In Transit
508,508,22-01-2023,18-08-2024,USPS,Delivered
509,509,11-03-2024,13-02-2024,DHL,In Transit
510,510,31-12-2022,29-02-2024,UPS,Delivered
511,511,12-04-2024,10-12-2023,UPS,Delivered
512,512,26-07-2023,26-09-2024,FedEx,In Transit
513,513,02-11-2024,30-06-2024,DHL,In Transit
514,514,04-07-2023,25-11-2023,UPS,Delivered
515,515,27-06-2024,,USPS,Returned
516,516,19-12-2022,,USPS,Returned
517,517,21-07-2023,,FedEx,Returned
518,518,03-11-2024,,UPS,In Transit
519,519,30-10-2024,18-11-2024,UPS,Returned
520,520,03-06-2024,28-08-2024,FedEx,Returned
521,521,16-01-2024,15-06-2024,UPS,In Transit
522,522,20-05-2024,30-06-2024,UPS,Returned
523,523,09-06-2023,22-12-2023,DHL,Returned
524,524,23-03-2024,07-07-2024,USPS,Delivered
525,525,21-08-2024,19-11-2023,USPS,Delivered
526,526,04-07-2024,,UPS,Returned
527,527,02-12-2023,,DHL,Delivered
528,528,11-03-2024,05-03-2024,USPS,Returned
529,529,30-04-2023,19-09-2024,DHL,In Transit
530,530,17-03-2023,13-08-2024,FedEx,Returned
531,531,16-04-2023,11-05-2024,UPS,Returned
532,532,17-03-2023,27-10-2024,DHL,Delivered
533,533,03-08-2024,,USPS,Delivered
534,534,18-05-2024,24-07-2024,FedEx,Delivered
535,535,10-09-2023,,FedEx,In Transit
536,536,18-03-2023,,DHL,In Transit
537,537,03-10-2023,02-05-2024,FedEx,Delivered
538,538,12-02-2023,09-08-2024,UPS,In Transit
539,539,29-12-2022,16-02-2024,UPS,In Transit
540,540,07-10-2023,,FedEx,In Transit
541,541,17-11-2023,08-07-2024,FedEx,In Transit
542,542,05-02-2023,16-08-2024,FedEx,Returned
543,543,10-05-2024,,UPS,In Transit
544,544,31-07-2023,10-11-2024,DHL,Delivered
545,545,11-01-2024,,UPS,Returned
546,546,27-11-2023,27-12-2023,FedEx,In Transit
547,547,25-04-2023,08-03-2024,USPS,Delivered
548,548,11-10-2023,03-04-2024,FedEx,Returned
549,549,25-10-2023,20-12-2023,USPS,Delivered
550,550,21-11-2023,,UPS,Delivered
551,551,29-11-2022,,UPS,Delivered
